-------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                       Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     Number of Calls  Input Shapes                                   
-------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
size                       0.00%            0.942us          0.00%            0.942us          0.942us          1                []                                             
numpy_T                    0.00%            3.630us          0.00%            11.342us         11.342us         1                []                                             
permute                    0.00%            6.361us          0.00%            7.712us          7.712us          1                []                                             
as_strided                 0.00%            1.351us          0.00%            1.351us          1.351us          1                []                                             
contiguous                 0.00%            4.854us          0.01%            24.149us         24.149us         1                []                                             
empty_like                 0.00%            3.169us          0.00%            7.054us          7.054us          1                []                                             
empty                      0.00%            3.885us          0.00%            3.885us          3.885us          1                []                                             
copy_                      0.00%            11.089us         0.00%            12.241us         12.241us         1                []                                             
stride                     0.00%            0.516us          0.00%            0.516us          0.516us          1                []                                             
stride                     0.00%            0.200us          0.00%            0.200us          0.200us          1                []                                             
size                       0.00%            0.436us          0.00%            0.436us          0.436us          1                []                                             
eq                         0.00%            9.012us          0.00%            18.450us         18.450us         1                []                                             
is_complex                 0.00%            0.487us          0.00%            0.487us          0.487us          1                []                                             
empty                      0.00%            1.071us          0.00%            1.071us          1.071us          1                []                                             
eq_out                     0.00%            6.542us          0.00%            7.880us          7.880us          1                []                                             
resize_                    0.00%            1.338us          0.00%            1.338us          1.338us          1                []                                             
is_complex                 0.00%            0.405us          0.00%            0.405us          0.405us          1                []                                             
to                         0.00%            1.545us          0.00%            1.545us          1.545us          1                []                                             
index_put_                 0.00%            4.974us          0.01%            55.258us         55.258us         1                []                                             
_index_put_impl_           0.01%            21.696us         0.01%            50.284us         50.284us         1                []                                             
size                       0.00%            0.291us          0.00%            0.291us          0.291us          1                []                                             
size                       0.00%            0.197us          0.00%            0.197us          0.197us          1                []                                             
size                       0.00%            0.190us          0.00%            0.190us          0.190us          1                []                                             
size                       0.00%            0.193us          0.00%            0.193us          0.193us          1                []                                             
nonzero                    0.00%            10.671us         0.00%            10.671us         10.671us         1                []                                             
select                     0.00%            2.799us          0.00%            4.098us          4.098us          1                []                                             
size                       0.00%            0.206us          0.00%            0.206us          0.206us          1                []                                             
as_strided                 0.00%            1.093us          0.00%            1.093us          1.093us          1                []                                             
select                     0.00%            1.388us          0.00%            3.033us          3.033us          1                []                                             
size                       0.00%            0.203us          0.00%            0.203us          0.203us          1                []                                             
as_strided                 0.00%            1.442us          0.00%            1.442us          1.442us          1                []                                             
size                       0.00%            0.225us          0.00%            0.225us          0.225us          1                []                                             
stride                     0.00%            0.319us          0.00%            0.319us          0.319us          1                []                                             
size                       0.00%            0.201us          0.00%            0.201us          0.201us          1                []                                             
stride                     0.00%            0.225us          0.00%            0.225us          0.225us          1                []                                             
as_strided                 0.00%            0.458us          0.00%            0.458us          0.458us          1                []                                             
reshape                    0.00%            2.922us          0.00%            4.776us          4.776us          1                []                                             
view                       0.00%            1.854us          0.00%            1.854us          1.854us          1                []                                             
reshape                    0.00%            0.884us          0.00%            3.711us          3.711us          1                []                                             
view                       0.00%            2.827us          0.00%            2.827us          2.827us          1                []                                             
to                         0.00%            0.593us          0.00%            0.593us          0.593us          1                []                                             
to                         0.00%            0.796us          0.00%            0.796us          0.796us          1                []                                             
to                         0.00%            0.651us          0.00%            0.651us          0.651us          1                []                                             
